File Path,Piece Tital,Composer
variations_haydn_56a_1t_(bakels),"Brahms: Variations On A Theme By Haydn, Op. 56a",Brahms
symphony_6_3_(c)lucarelli,"Beethoven: Symphony No 6, 3rd movement (Bernard Haitink, London Symphony Orchestra)",Beethoven
fugue_126_1_(c)yogore,【演奏】バッハ：平均律クラヴィーア曲集 第2巻 第1番「フーガ」【ピアノ】126,
sonata_143_2_(c)yogore,"Beethoven: Sonata No.20 in G Major, Op.49 No.2 (Goode, Lewis)",Beethoven
valse_posth_E_(c)dery,Evgeny Kissin - Chopin Valse E  Posthume,Chopin
sonata_D958_2_(c)bucknall,"Schubert: Piano Sonata No.19 in C minor, D.958 - 2. Adagio",Schubert
sonata_D894_2_(c)bucknall,"Schubert - Piano Sonata No. 18 in G major, D. 894 - II. Andante - Jimin Oh-Havenith",Schubert
sonata_129_3_(c)onclassical,"Stanford: Sonata for clarinet and piano, Op.129 - 3. Allegretto grazioso",
waltzes_39_12_(c)yogore,"Johannes BRAHMS: Op. 39, No. 12 (Waltz)",Brahms
nocturne_32_1_(c)unknown,Chopin Nocturne Op. 32 No. 1 in B Major (Arthur Rubinstein),Chopin
variations_35_2_(pepperdine),THE TRUTH ABOUT PEPPERDINE UNIVERSITY pt 2,
symphony_5_3_(c)lucarelli,"Beethoven -5th Symphony, 3rd movement: Allegro",Beethoven
symphonische_etuden_13_(c)lefeldt,"Schumann: Symphonic Etudes, Op.13 (Pogorelich)",Schumann
ballade_10_4_(c)dery,"Brahms - Michelangeli, Ballade Op.10 No 4 in B major",Brahms
sonata_120_1_(c)yogore,"Brahms Sonata No. 1 in F minor for clarinet and piano, Op. 120 No. 1 - I &amp; II",Brahms
fugue_126_6_(c)yogore,"Bach Prelude and Fugue No.6 (Moderate Tempo) Well Tempered Clavier, Book 1 with Harmonic Pedal",
symphony_9_4_(c)lucarelli,Beethoven Symphony No. 9 - Mvt. 4 - Barenboim/West-Eastern Divan Orchestra,Beethoven
mazurka_7_2_(c)yogore,Chopin Mazurka Op.7 No.2 By Arthur Rubinstein (25/154),Chopin
nocturne_37_2_(c)unknown,Chopin Nocturne Op.37 No.2 By Arthur Rubinstein (12/154),Chopin
waltzes_39_15_(c)yogore,"Brahms Waltz in A-Flat Major, Op. 39 No. 15 - Evgeny Kissin",Brahms
polonaise_40_2_(c)dery,F. Chopin :  Polonaise op. 40 no. 2 in C minor (Pollini),Chopin
kinderszenen_15_7_(c)oguri,"Schumann: Kinderszenen Op.15 No.7, Träumerei (Horowitz)",Schumann
concerto_15_2_(c)lucarelli,"Mozart: Piano Concerto No.15 in B flat, K.450 - 2. (Andante)",
march_military_3_(c)yogore,Franz Schubert 3 Military Marches for piano duet Op. 51 D.733,Schubert
diabelli_variations_(c)halstead,"Beethoven: Diabelli Variations, Op.120 (Anderszewski)",Beethoven
sonata_143_1_(c)yogore,Got income tax notice u/s 143(1) | What to do Now ?,
